CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Condition,Count,Footnote,Location,GeoLocation
28T040,NEBRASKA METHODIST HEALTH SYSTEM,8511 WEST DODGE ROAD,,OMAHA,NE,68114,Douglas,(402) 354-4405,7,Brain disease or condition (non-traumatic),18,,"8511 WEST DODGE ROAD OMAHA, NE 68114 (41.262378, -96.044701)","(41.6410409880005, -99.36572062299967)"
45T669,MEDICAL CITY LEWISVILLE,500 W MAIN ST,,LEWISVILLE,TX,75057,Denton,(469) 370-2515,6,Stroke,58,,"500 W MAIN ST LEWISVILLE, TX 75057 (33.046306, -97.004207)","(31.827240407000488, -99.42677020599967)"
523028,UW HEALTH REHABILITATION HOSPITAL,5115 N BILTMORE LN,,MADISON,WI,53718,Dane,(608) 592-8100,5,All other conditions,140,,"5115 N BILTMORE LN MADISON, WI 53718 (43.152119, -89.297151)","(44.39319117400049, -89.81637074199966)"
513027,ENCOMPASS HEALTH REHAB HOSPITAL OF PARKERSBURG,#3 WESTERN HILLS DRIVE,,PARKERSBURG,WV,26105,Wood,(304) 420-1300,3,Nervous system disorder (excluding stroke),549,,,"(38.66551020200046, -80.71264013499967)"
33T128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,,ELMHURST,NY,11373,Queens,(718) 334-2611,2,Spinal cord injury (traumatic),less than 11,1,"79-01 BROADWAY ELMHURST, NY 11373 (40.74434, -73.88598)","(42.82700103200045, -75.54397042699964)"
05T236,SIMI VALLEY HOSPITAL ; HEALTH CARE SVC,2975 NORTH SYCAMORE DRIVE,,SIMI VALLEY,CA,93065,Ventura,(805) 955-6000,9,All other conditions,Not Available,2,"2975 NORTH SYCAMORE DRIVE SIMI VALLEY, CA 93065 (34.288837, -118.74396)","(37.63864012300047, -120.99999953799971)"
30T034,CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,,MANCHESTER,NH,3102,Hillsboro,(603) 663-2042,1,Hip or femur fracture,24,,"100 MCGREGOR STREET MANCHESTER, NH 03102 (42.991211, -71.47379)","(43.65595011300047, -71.50036091999965)"
17T137,LAWRENCE MEMORIAL HOSPITAL,325 MAINE STREET,,LAWRENCE,KS,66044,Douglas,(785) 505-5000,7,Hip or femur fracture,less than 11,1,"325 MAINE STREET LAWRENCE, KS 66044 (38.97815, -95.247649)","(38.34774030000045, -98.20078122699965)"
31T015,ATLANTIC REHABILITATION INSTITUTE,95 MT. KEMBLE AVENUE,P.O. BOX 1978,MORRISTOWN,NJ,7962,Morris,(973) 971-4416,2,Spinal cord disease or condition (non-traumatic),18,,"95 MT. KEMBLE AVENUE MORRISTOWN, NJ 07962 (40.789546, -74.488639)","(40.13057004800049, -74.27369128799967)"
03T010,CARONDELET ST. MARY'S HOSPITAL,1601 W. ST. MARY'S ROAD,,TUCSON,AZ,85745,Pima,(520) 872-6244,9,"Hip or knee replacement, amputation or other bone or joint condition",57,,"1601 W. ST. MARY'S ROAD TUCSON, AZ 85745 (32.228923, -111.000032)","(34.865970280000454, -111.76381127699972)"
44T125,PATRICIA NEAL REHABILITATION CENTER,1901 CLINCH AVENUE,,KNOXVILLE,TN,37916,Knox,(865) 331-1839,4,Brain disease or condition (non-traumatic),36,,"1901 CLINCH AVENUE KNOXVILLE, TN 37916 (35.95681, -83.937134)","(35.68094058000048, -85.77449091399967)"
37T089,TAHLEQUAH CITY HOSPITAL,1400 E. DOWNING,,TAHLEQUAH,OK,74464,Cherokee,(502) 596-6346,6,Brain disease or condition (non-traumatic),less than 11,1,"1400 E. DOWNING TAHLEQUAH, OK 74464 (35.915326, -94.950558)","(35.47203135600046, -97.52107021399968)"
52T087,GUNDERSEN LUTHERAN MEDICAL CENTER INC,1900 SOUTH AVENUE,,LA CROSSE,WI,54601,La Crosse,(608) 775-3064,5,Brain disease or condition (non-traumatic),14,,"1900 SOUTH AVENUE LA CROSSE, WI 54601 (43.795248, -91.247048)","(44.39319117400049, -89.81637074199966)"
49T107,RESTON HOSP INPATIENT REHAB,1850 TOWN CENTER PKWY,,RESTON,VA,20190,Fairfax,(703) 481-2408,3,Brain injury (traumatic),Not Available,2,"1850 TOWN CENTER PKWY RESTON, VA 20190 (38.96189, -77.362657)","(37.54268067400045, -78.45789046299967)"
25T078,FORREST GENERAL HOSPITAL,PO BOX 16389,,HATTIESBURG,MS,39404,Forrest,(601) 288-3862,4,Spinal cord disease or condition (non-traumatic),16,,,"(32.745510099000455, -89.53803082499968)"
34T061,UNC HOSPITALS INPATIENT REHAB,101 MANNING DR,,CHAPEL HILL,NC,27514,Orange,(919) 984-5306,4,Brain disease or condition (non-traumatic),22,,"101 MANNING DR CHAPEL HILL, NC 27514 (35.903551, -79.051894)","(35.466220975000454, -79.15925046299964)"
19T004,THIBODAUX REGIONAL MEDICAL CENTER,602 NORTH ACADIA ROAD,,THIBODAUX,LA,70301,Lafourche,(985) 493-4435,6,"Hip or knee replacement, amputation or other bone or joint condition",25,,"602 NORTH ACADIA ROAD THIBODAUX, LA 70301 (29.780546, -90.806819)","(31.31266064400046, -92.44568007099969)"
45T862,CHI ST. LUKES HEALTH - BAYLOR REHABILITATION,17200 ST. LUKE'S WAY,,THE WOODLANDS,TX,77384,Montgomery,(502) 596-6346,6,Nervous system disorder (excluding stroke),39,,"17200 ST. LUKE'S WAY THE WOODLANDS, TX 77384 (30.20566, -95.460773)","(31.827240407000488, -99.42677020599967)"
35T006,TRINITY REHABCARE CENTER,407 3RD ST. SE,,MINOT,ND,58701,Ward,(502) 596-6346,8,Stroke,33,,"407 3RD ST. SE MINOT, ND 58701 (48.232479, -101.288452)","(47.47531977900047, -100.11842104899966)"
39T327,WELLSPAN SURGERY AND REHABILITATION HOSPITAL,55 MONUMENT RD,,YORK,PA,17403,York,(717) 812-6100,3,"Hip or knee replacement, amputation or other bone or joint condition",123,,"55 MONUMENT RD YORK, PA 17403 (39.923277, -76.716898)","(40.79373015200048, -77.86070029399963)"
45T661,ODESSA REGIONAL MEDICAL CENTER,520 E 6TH ST,,ODESSA,TX,79761,Ector,(432) 582-8395,6,Brain injury (traumatic),less than 11,1,"520 E 6TH ST ODESSA, TX 79761 (31.851458, -102.366027)","(31.827240407000488, -99.42677020599967)"
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,107 GOVERNORS DRIVE,,HUNTSVILLE,AL,35801,Madison,(205) 535-2300,4,Stroke,291,,"107 GOVERNORS DRIVE HUNTSVILLE, AL 35801 (34.719842, -86.580062)","(32.84057112200048, -86.63186076199969)"
43T016,AVERA MCKENNAN REHABILITATION UNIT,1000 E 23RD ST 5TH FLOOR,,SIOUX FALLS,SD,57105,Minnehaha,(605) 322-5010,8,"Hip or knee replacement, amputation or other bone or joint condition",19,,"1000 E 23RD ST 5TH FLOOR SIOUX FALLS, SD 57105 (43.532131, -96.71322)","(44.353130053000484, -100.3735306369997)"
05T248,SAM KARAS ARU - NATIVIDAD,1441 CONSTITUTION BOULEVARD,,SALINAS,CA,93906,Monterey,(502) 596-6346,9,All other conditions,49,,"1441 CONSTITUTION BOULEVARD SALINAS, CA 93906 (36.695472, -121.63124)","(37.63864012300047, -120.99999953799971)"
37T018,JANE PHILLIPS MEMORIAL MEDICAL CENTER,3500 FRANK PHILLIPS BOULEVARD,,BARTLESVILLE,OK,74006,Washington,(918) 333-7200,6,Hip or femur fracture,41,,"3500 FRANK PHILLIPS BOULEVARD BARTLESVILLE, OK 74006 (36.750676, -95.939698)","(35.47203135600046, -97.52107021399968)"
283026,MADONNA REHABILITATION HOSPITAL OMAHA,17500 BURKE STREET,,OMAHA,NE,68118,Douglas,(402) 401-3100,7,Brain injury (traumatic),21,,"17500 BURKE STREET OMAHA, NE 68118 (41.259304, -96.188952)","(41.6410409880005, -99.36572062299967)"
67T055,METHODIST STONE OAK HOSPITAL,1139 E SONTERRA BLVD,,SAN ANTONIO,TX,78258,Bexar,(210) 439-3635,6,Stroke,45,,"1139 E SONTERRA BLVD SAN ANTONIO, TX 78258 (29.614494, -98.475459)","(31.827240407000488, -99.42677020599967)"
193092,BETHESDA REHABILITATION HOSPITAL,"7414 SUMRALL DRIVE, SUITE A",,BATON ROUGE,LA,70812,East Baton Rouge,(225) 767-2034,6,All other conditions,less than 11,1,"7414 SUMRALL DRIVE, SUITE A BATON ROUGE, LA 70812 (30.513918, -91.116787)","(31.31266064400046, -92.44568007099969)"
23T077,ST MARY'S OF MICHIGAN MEDICAL CENTER,800 S WASHINGTON AVENU,,SAGINAW,MI,48601,Saginaw,(989) 776-1677,5,All other conditions,Not Available,2,"800 S WASHINGTON AVENU SAGINAW, MI 48601 (43.426012, -83.941936)","(44.6613195430005, -84.71439026999968)"
44T050,TAKOMA REGIONAL HOSPITAL,401 TAKOMA AVENUE,,GREENEVILLE,TN,37743,Greene,(423) 636-0444,4,Spinal cord injury (traumatic),Not Available,2,"401 TAKOMA AVENUE GREENEVILLE, TN 37743 (36.152114, -82.844926)","(35.68094058000048, -85.77449091399967)"
15T048,REID HOSPITAL AND HEALTH CARE SERVICES,1100 REID PARKWAY,,RICHMOND,IN,47374,Wayne,(765) 983-3060,5,"Hip or knee replacement, amputation or other bone or joint condition",35,,"1100 REID PARKWAY RICHMOND, IN 47374 (39.86303, -84.887765)","(39.766910452000445, -86.14996019399968)"
05T107,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH STREET,,SANTA MARIA,CA,93454,Santa Barbara,(502) 596-6346,9,All other conditions,47,,"1400 E CHURCH STREET SANTA MARIA, CA 93454 (34.952117, -120.412494)","(37.63864012300047, -120.99999953799971)"
14T091,CARLE FOUNDATION HOSPITAL,611 W. PARK,,URBANA,IL,61801,Champaign,(217) 383-6423,5,Hip or femur fracture,less than 11,1,"611 W. PARK URBANA, IL 61801 (40.117423, -88.213888)","(40.48501028300046, -88.99771017799969)"
26T108,MISSOURI BAPTIST MEDICAL CTR,3015 N BALLAS RD,,ST LOUIS,MO,63131,St. Louis,(314) 713-4931,7,Spinal cord disease or condition (non-traumatic),14,,"3015 N BALLAS RD ST LOUIS, MO 63131 (38.635532, -90.443636)","(38.635790776000476, -92.56630005299968)"
393031,HEALTHSOUTH REHAB HOSPITAL OF MECHANICSBURG,175 LANCASTER BOULEVARD,,MECHANICSBURG,PA,17055,Cumberland,(717) 691-3720,3,Brain disease or condition (non-traumatic),72,,"175 LANCASTER BOULEVARD MECHANICSBURG, PA 17055 (40.210368, -76.97439)","(40.79373015200048, -77.86070029399963)"
673025,PAM REHABILITATION HOSPITAL OF ALLEN,1001 RAINTREE CIRCLE,,ALLEN,TX,75013,Collin,(972) 908-2015,6,Spinal cord injury (traumatic),less than 11,1,"1001 RAINTREE CIRCLE ALLEN, TX 75013 (33.113167, -96.675352)","(31.827240407000488, -99.42677020599967)"
33T236,NY PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,506 6TH ST,,BROOKLYN,NY,11215,Kings,(718) 780-5228,2,Brain injury (traumatic),40,,"506 6TH ST BROOKLYN, NY 11215 (40.668263, -73.979141)","(42.82700103200045, -75.54397042699964)"
263028,"THE REHABILITATION INSTITUTE OF ST. LOUIS, AN AFFI",4455 DUNCAN AVE,,SAINT LOUIS,MO,63110,St. Louis City,(314) 658-3925,7,Spinal cord injury (traumatic),39,,"4455 DUNCAN AVE SAINT LOUIS, MO 63110 (38.636656, -90.257959)","(38.635790776000476, -92.56630005299968)"
37T008,NORMAN REGIONAL HOSPITAL,901 N PORTER AVE,,NORMAN,OK,73071,Cleveland,(405) 307-1000,6,Spinal cord disease or condition (non-traumatic),19,,"901 N PORTER AVE NORMAN, OK 73071 (35.230257, -97.441117)","(35.47203135600046, -97.52107021399968)"
05T008,CALIFORNIA PACIFIC REGIONAL REHABILITATION CENTER,P O BOX 7999,,SAN FRANCISCO,CA,94120,San Francisco,(415) 600-6153,9,Brain injury (traumatic),23,,,"(37.63864012300047, -120.99999953799971)"
03T002,BANNER UNIVERSITY MEDICINE,1012 E WILLETTA ST,,PHOENIX,AZ,85006,Maricopa,(602) 239-4079,9,Brain injury (traumatic),16,,"1012 E WILLETTA ST PHOENIX, AZ 85006 (33.463623, -112.060171)","(34.865970280000454, -111.76381127699972)"
153042,LAFAYETTE REGIONAL REHABILITATION HOSPITAL,950 PARK EAST BLVD,,LAFAYETTE,IN,47905,Tippecanoe,(765) 447-4040,5,"Hip or knee replacement, amputation or other bone or joint condition",36,,"950 PARK EAST BLVD LAFAYETTE, IN 47905 (40.405912, -86.828664)","(39.766910452000445, -86.14996019399968)"
453048,PAM REHABILITATION HOSPITAL OF BEAUMONT,3340 PLAZA 10 DRIVE,,BEAUMONT,TX,77707,Jefferson,(409) 835-0835,6,Spinal cord injury (traumatic),less than 11,1,"3340 PLAZA 10 DRIVE BEAUMONT, TX 77707 (30.078207, -94.137134)","(31.827240407000488, -99.42677020599967)"
11T143,WELLSTAR COBB HOSPITAL,3950 AUSTELL ROAD,3950 AUSTELL RD,AUSTELL,GA,30106,Cobb,(470) 732-4032,4,All other conditions,less than 11,1,"3950 AUSTELL ROAD AUSTELL, GA 30106 (33.856701, -84.601561)","(32.83968109300048, -83.62758034599966)"
26T095,CENTERPOINT MEDICAL CENTER,1960 E 39TH ST S,,INDEPENDENCE,MO,64057,Jackson,(816) 698-7470,7,All other conditions,24,,,"(38.635790776000476, -92.56630005299968)"
29T009,ST MARY'S REGIONAL MEDICAL CTR,235 WEST SIXTH STREET,,RENO,NV,89503,Washoe,(775) 770-3000,9,Hip or femur fracture,Not Available,2,"235 WEST SIXTH STREET RENO, NV 89503 (39.531619, -119.818243)","(39.493240390000494, -117.07184056399967)"
05T348,UNIV OF CA IRVINE MED CTR,101 THE CITY DRIVE,,ORANGE,CA,92868,Orange,(714) 456-5749,9,Spinal cord disease or condition (non-traumatic),19,,"101 THE CITY DRIVE ORANGE, CA 92868 (33.788895, -117.890718)","(37.63864012300047, -120.99999953799971)"
33T059,MONTEFIORE MEDICAL CENTER,600 E 233 STREET,,BRONX,NY,10466,Bronx,(718) 920-9593,2,Brain injury (traumatic),less than 11,1,"600 E 233 STREET BRONX, NY 10466 (40.894422, -73.860748)","(42.82700103200045, -75.54397042699964)"
45T035,ST. JOSEPH MEDICAL CENTER,1401 ST. JOSEPH PARKWAY,GWS 3381,HOUSTON,TX,77002,Harris,(713) 756-5334,6,Spinal cord disease or condition (non-traumatic),less than 11,1,"1401 ST. JOSEPH PARKWAY HOUSTON, TX 77002 (29.747898, -95.36639)","(31.827240407000488, -99.42677020599967)"
05T471,GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BLVD,,LOS ANGELES,CA,90017,Los Angeles,(502) 596-7152,9,Nervous system disorder (excluding stroke),less than 11,1,"1225 WILSHIRE BLVD LOS ANGELES, CA 90017 (34.053209, -118.265292)","(37.63864012300047, -120.99999953799971)"
01T144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,MOBILE,AL,36608,Mobile,(502) 596-6346,4,Hip or femur fracture,21,,"3719 DAUPHIN STREET MOBILE, AL 36608 (30.685946, -88.131719)","(32.84057112200048, -86.63186076199969)"
10T161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,,SANFORD,FL,32771,Seminole,(407) 562-0924,4,All other conditions,45,,"1401 W SEMINOLE BLVD SANFORD, FL 32771 (28.816202, -81.283577)","(28.932040377000476, -81.92896053899966)"
22T046,BERKSHIRE MEDICAL CENTER,THE CENTER FOR REHAB,725 NORTH ST,PITTSFIELD,MA,1201,Berkshire,(413) 447-2215,1,Hip or femur fracture,28,,,"(42.27687047000046, -72.08269067499964)"
373025,"VALIR REHABILITATION HOSPITAL OF OKC, LLC",700 NORTHWEST 7TH STREET,,OKLAHOMA CITY,OK,73102,Oklahoma,(405) 236-3131,6,Stroke,67,,"700 NORTHWEST 7TH STREET OKLAHOMA CITY, OK 73102 (35.4752, -97.524352)","(35.47203135600046, -97.52107021399968)"
103028,ENCOMPASS HEALTH REHAB HOSPITAL OF SUNRISE,4399 NOB HILL RD,,SUNRISE,FL,33351,Broward,(954) 749-0300,4,Hip or femur fracture,239,,"4399 NOB HILL RD SUNRISE, FL 33351 (26.179061, -80.284004)","(28.932040377000476, -81.92896053899966)"
263028,"THE REHABILITATION INSTITUTE OF ST. LOUIS, AN AFFI",4455 DUNCAN AVE,,SAINT LOUIS,MO,63110,St. Louis City,(314) 658-3925,7,"Hip or knee replacement, amputation or other bone or joint condition",230,,"4455 DUNCAN AVE SAINT LOUIS, MO 63110 (38.636656, -90.257959)","(38.635790776000476, -92.56630005299968)"
303026,NORTHEAST REHABILITATION HOSPITAL,70 BUTLER STREET,,SALEM,NH,3079,Rockingham,(603) 893-2900,1,Hip or femur fracture,380,,"70 BUTLER STREET SALEM, NH 03079 (42.76579, -71.18588)","(43.65595011300047, -71.50036091999965)"
05T782,CASA COLINA HOSP FOR REHAB MEDICINE,255 E BONITA AVE,PO BOX 6001,POMONA,CA,91769,Los Angeles,(909) 596-7733,9,Spinal cord injury (traumatic),15,,"255 E BONITA AVE POMONA, CA 91769 (34.096242, -117.746861)","(37.63864012300047, -120.99999953799971)"
29T012,ST. ROSE DOMINICAN HOSPITAL - ROSE DE LIMA,102 E. LAKE MEAD PARKWAY,,HENDERSON,NV,89015,Clark,(702) 616-4576,9,All other conditions,48,,"102 E. LAKE MEAD PARKWAY HENDERSON, NV 89015 (36.038829, -114.983192)","(39.493240390000494, -117.07184056399967)"
05T008,CALIFORNIA PACIFIC REGIONAL REHABILITATION CENTER,P O BOX 7999,,SAN FRANCISCO,CA,94120,San Francisco,(415) 600-6153,9,Spinal cord injury (traumatic),less than 11,1,,"(37.63864012300047, -120.99999953799971)"
23T021,"LAKELAND HOSPITAL, ST. JOSEPH",1234 NAPIER AVENUE,,SAINT JOSEPH,MI,49085,Berrien,(269) 983-8586,5,Nervous system disorder (excluding stroke),Not Available,2,"1234 NAPIER AVENUE SAINT JOSEPH, MI 49085 (42.089742, -86.477194)","(44.6613195430005, -84.71439026999968)"
15T035,PORTER HOSPITAL,3630 WILLOWCREEK RD,,PORTAGE,IN,46368,Porter,(219) 263-7115,5,Spinal cord disease or condition (non-traumatic),less than 11,1,"3630 WILLOWCREEK RD PORTAGE, IN 46368 (41.54611, -87.182612)","(39.766910452000445, -86.14996019399968)"
36T025,FIRELANDS REGIONAL MEDICAL CTR,INPATIENT REHABILITATION,1111 HAYES AVENUE,SANDUSKY,OH,44870,Erie,(419) 557-7243,5,Hip or femur fracture,61,,,"(40.06021014100048, -82.40426005599966)"
453025,TIRR MEMORIAL HERMANN,1333 MOURSUND AVE,,HOUSTON,TX,77030,Harris,(713) 799-7022,6,Hip or femur fracture,13,,"1333 MOURSUND AVE HOUSTON, TX 77030 (29.708326, -95.394246)","(31.827240407000488, -99.42677020599967)"
113029,"REHABILITATION HOSPITAL, NAVICENT HEALTH",3351 NORTHSIDE DRIVE,,MACON,GA,31210,Bibb,(478) 471-6500,4,Spinal cord injury (traumatic),less than 11,1,"3351 NORTHSIDE DRIVE MACON, GA 31210 (32.892244, -83.680583)","(32.83968109300048, -83.62758034599966)"
23T270,BEAUMONT TAYLOR,10000 TELEGRAPH RD,,TAYLOR,MI,48180,Wayne,(313) 295-5197,5,Brain disease or condition (non-traumatic),40,,"10000 TELEGRAPH RD TAYLOR, MI 48180 (42.233501, -83.269667)","(44.6613195430005, -84.71439026999968)"
05T116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD.,,NORTHRIDGE,CA,91328,Los Angeles,(818) 885-8500,9,Spinal cord injury (traumatic),12,,"18300 ROSCOE BLVD. NORTHRIDGE, CA 91328 (34.220789, -118.533216)","(37.63864012300047, -120.99999953799971)"
15T125,COMMUNITY HOSPITAL,901 MACARTHUR BLVD,,MUNSTER,IN,46321,Lake,(502) 596-6346,5,Nervous system disorder (excluding stroke),330,,"901 MACARTHUR BLVD MUNSTER, IN 46321 (41.549671, -87.505971)","(39.766910452000445, -86.14996019399968)"
43026,BAPTIST HEALTH REHABILITATION INSTITUTE,9601 BAPTIST HEALTH DRIVE,,LITTLE ROCK,AR,72205,Pulaski,(501) 202-7578,6,Stroke,237,,"9601 BAPTIST HEALTH DRIVE LITTLE ROCK, AR 72205 (34.745812, -92.383679)","(34.74865012400045, -92.27449074299966)"
36T010,UNION HOSPITAL,659 BOULEVARD,,DOVER,OH,44622,Tuscarawas,(330) 365-3807,5,Stroke,27,,"659 BOULEVARD DOVER, OH 44622 (40.513879, -81.456583)","(40.06021014100048, -82.40426005599966)"
05T174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR.,,SANTA ROSA,CA,95405,Sonoma,(707) 547-5486,9,All other conditions,less than 11,1,"1165 MONTGOMERY DR. SANTA ROSA, CA 95405 (38.442954, -122.701112)","(37.63864012300047, -120.99999953799971)"
01T092,NORTHPORT MEDICAL CENTER,"809 UNIVERSITY BOULEVARD, EAST",,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 759-7111,4,Spinal cord injury (traumatic),11,,"809 UNIVERSITY BOULEVARD, EAST TUSCALOOSA, AL 35401 (33.20613, -87.525154)","(32.84057112200048, -86.63186076199969)"
45T209,NORTHWEST TEXAS HEALTHCARE SYS,1501 S COULTER,,AMARILLO,TX,79109,Potter,(806) 351-5115,6,"Hip or knee replacement, amputation or other bone or joint condition",46,,,"(31.827240407000488, -99.42677020599967)"
443032,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CHATTA,2412 MCCALLIE AVENUE,,CHATTANOOGA,TN,37404,Hamilton,(423) 698-0221,4,Nervous system disorder (excluding stroke),259,,"2412 MCCALLIE AVENUE CHATTANOOGA, TN 37404 (35.032863, -85.266498)","(35.68094058000048, -85.77449091399967)"
06T064,PORTER ADVENTIST HOSPITAL,2525 S. DOWNING ST.,,DENVER,CO,80210,Denver,(303) 765-6194,8,Stroke,29,,"2525 S. DOWNING ST. DENVER, CO 80210 (39.67064, -104.973482)","(38.843840757000464, -106.13361092099967)"
10T249,SEVEN RIVERS REGIONAL MEDICAL CENTER,6201 N SUNCOAST BLVD,,CRYSTAL RIVER,FL,34428,Citrus,(352) 795-8342,4,Nervous system disorder (excluding stroke),Not Available,2,"6201 N SUNCOAST BLVD CRYSTAL RIVER, FL 34428 (28.950896, -82.625866)","(28.932040377000476, -81.92896053899966)"
52T138,AURORA HEALTH CARE METRO INC,2900 W OKLAHOMA AVE,,MILWAUKEE,WI,53215,Sheboygan,(414) 649-5765,5,Hip or femur fracture,29,,"2900 W OKLAHOMA AVE MILWAUKEE, WI 53215 (42.988612, -87.949346)","(44.39319117400049, -89.81637074199966)"
373033,MERCY REHABILITATION HOSPITAL OKLAHOMA CITY,5401 WEST MEMORIAL ROAD,,OKLAHOMA CITY,OK,73142,Oklahoma,(405) 384-5250,6,All other conditions,145,,"5401 WEST MEMORIAL ROAD OKLAHOMA CITY, OK 73142 (35.610235, -97.614647)","(35.47203135600046, -97.52107021399968)"
10T087,SARASOTA MEMORIAL HOSPITAL,1700 SOUTH TAMIAMI TRAIL,,SARASOTA,FL,34239,Sarasota,(941) 917-9000,4,Spinal cord injury (traumatic),13,,"1700 SOUTH TAMIAMI TRAIL SARASOTA, FL 34239 (27.318268, -82.529687)","(28.932040377000476, -81.92896053899966)"
19T002,LAFAYETTE GENERAL ORTHOPAEDIC HOSPITAL,2810 AMBASSADOR CAFFERY PKWY.,,LAFAYETTE,LA,70505,Lafayette,(337) 406-4162,6,"Hip or knee replacement, amputation or other bone or joint condition",41,,"2810 AMBASSADOR CAFFERY PKWY. LAFAYETTE, LA 70505 (30.197997, -92.075264)","(31.31266064400046, -92.44568007099969)"
73025,MOUNT SINAI REHABILITATION HOSPITAL INC,490 BLUE HILLS AVENUE,,HARTFORD,CT,6112,Hartford,(860) 714-3500,1,Brain injury (traumatic),82,,"490 BLUE HILLS AVENUE HARTFORD, CT 06112 (41.799171, -72.695359)","(41.56266102000046, -72.64984095199964)"
16T045,ST. LUKES HOSPITAL,1026 A AVENUE NE,,CEDAR RAPIDS,IA,52402,Linn,(319) 369-8096,7,Brain disease or condition (non-traumatic),17,,"1026 A AVENUE NE CEDAR RAPIDS, IA 52402 (41.985632, -91.659013)","(42.46940091300047, -93.81649055599968)"
14T015,BLESSING HOSPITAL,BROADWAY @ 11TH,,QUINCY,IL,62305,Adams,(217) 223-8400,5,Spinal cord injury (traumatic),less than 11,1,,"(40.48501028300046, -88.99771017799969)"
453065,CHRISTUS ST MICHAEL REHAB HOSPITAL,2400 ST MICHAEL DRIVE,,TEXARKANA,TX,75503,Bowie,(903) 614-4000,6,Brain injury (traumatic),26,,"2400 ST MICHAEL DRIVE TEXARKANA, TX 75503 (33.463693, -94.071428)","(31.827240407000488, -99.42677020599967)"
45T462,PRESBYTERIAN HOSPITAL OF DALLAS,8200 WALNUT HILL LANE,JACKSON BUILDING 3RD FLOOR,DALLAS,TX,75231,Dallas,(214) 345-2893,6,Nervous system disorder (excluding stroke),42,,"8200 WALNUT HILL LANE DALLAS, TX 75231 (32.883139, -96.763574)","(31.827240407000488, -99.42677020599967)"
03T037,ST. LUKES ACUTE REHAB,1800 E VAN BUREN,,PHOENIX,AZ,85006,Maricopa,(602) 251-8545,9,Brain injury (traumatic),less than 11,1,"1800 E VAN BUREN PHOENIX, AZ 85006 (33.451436, -112.042767)","(34.865970280000454, -111.76381127699972)"
30T019,CHESHIRE MEDICAL CENTER,580 COURT ST,,KEENE,NH,3431,Cheshire,(603) 354-5454,1,Stroke,50,,"580 COURT ST KEENE, NH 03431 (42.949854, -72.290725)","(43.65595011300047, -71.50036091999965)"
393027,HEALTHSOUTH HARMARVILLE REHABILITATION HOSPITAL,320 GUYS RUN ROAD,,PITTSBURGH,PA,15238,Allegheny,(412) 828-1300,3,Spinal cord injury (traumatic),26,,,"(40.79373015200048, -77.86070029399963)"
50T012,ASTRIA REGIONAL,110 SOUTH 9TH AVE,,YAKIMA,WA,98902,Yakima,(509) 573-3481,10,All other conditions,50,,"110 SOUTH 9TH AVE YAKIMA, WA 98902 (46.597985, -120.521096)","(47.52227862900048, -120.47001078999972)"
193067,REHABILITATION HOSPITAL OF JENNINGS,"1 HOSPITAL DRIVE, SUITE 101",,JENNINGS,LA,70546,Jefferson Davis,(337) 821-5353,6,Nervous system disorder (excluding stroke),27,,"1 HOSPITAL DRIVE, SUITE 101 JENNINGS, LA 70546 (30.240216, -92.662196)","(31.31266064400046, -92.44568007099969)"
263030,ST LUKE'S REHABILITATION HOSPITAL,14709 OLIVE BOULEVARD,,CHESTERFIELD,MO,63017,St. Louis,(314) 317-5700,7,Stroke,86,,"14709 OLIVE BOULEVARD CHESTERFIELD, MO 63017 (38.674386, -90.532307)","(38.635790776000476, -92.56630005299968)"
25T152,MISSISSIPPI METHODIST REHABILITATION CENTER,1350 EAST WOODROW WILSON,,JACKSON,MS,39216,Hinds,(601) 364-3365,4,All other conditions,52,,"1350 EAST WOODROW WILSON JACKSON, MS 39216 (32.32683, -90.17218)","(32.745510099000455, -89.53803082499968)"
34T141,NEW HANOVER REGIONAL MEDICAL CENTER REHABILITATION,2131 SOUTH 17TH STREET,,WILMINGTON,NC,28402,New Hanover,(910) 667-5619,4,Spinal cord disease or condition (non-traumatic),51,,"2131 SOUTH 17TH STREET WILMINGTON, NC 28402 (34.206183, -77.924182)","(35.466220975000454, -79.15925046299964)"
32T085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,,LAS CRUCES,NM,88011,Dona Ana,(505) 556-6975,6,Hip or femur fracture,Not Available,2,"4311 EAST LOHMAN AVENUE LAS CRUCES, NM 88011 (32.322639, -106.728297)","(34.52088095200048, -106.24058098499967)"
